"Identified.Proteins","Accession.Number","Alternate.ID","Molecular.Weight","sample","value","group"
"albumin-like  ","XP_048702847.1","ALB",70,"X203B",283.99,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X204B",295.12,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X254B",303.5,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X265B",316.58,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X269B",354.47,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X114A",240.84,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X115A",299.96,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X116A",214.29,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X133A",300.25,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X137A",284.56,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X162A",173.31,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X192A",302.09,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X249A",332.89,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X278A",251.11,"OC2_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X114B",289.5,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X115B",363.81,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X116B",239.71,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X133B",295.01,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X137B",304.56,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X162B",239.85,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X192B",301.11,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X249B",342.04,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X278B",303.72,"OC2_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X081A",315.68,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X087A",354.03,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X088A",343.75,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X098A",311.95,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X100A",334.63,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X107A",264.34,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X108A",269.07,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X110A",335.36,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X125A",258.82,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X193A",281.27,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X203A",249.15,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X204A",310.62,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X254A",252.91,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X265A",238.94,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X269A",283.22,"OC4_0"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X081B",284.71,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X087B",325.08,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X088B",327.78,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X098B",300.56,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X100B",307.9,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X107B",267.44,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X108B",446.19,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X110B",311.4,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X125B",286.86,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X193B",296.07,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X203B",294.2,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X204B",343.36,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X254B",298.35,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X265B",283.99,"OC4_1"
"Cluster of alpha-2-macroglobulin-like  ","XP_048678464.1 ","A2M",163,"X269B",286.36,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X114A",256.17,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X115A",214.59,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X116A",220.31,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X133A",234.63,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X137A",285.84,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X162A",369.29,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X192A",282.05,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X249A",377.66,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X278A",259.9,"OC2_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X114B",311.3,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X115B",347.15,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X116B",199.07,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X133B",235.11,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X137B",327.24,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X162B",358.9,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X192B",329.97,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X249B",320,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X278B",282.59,"OC2_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X081A",352.77,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X087A",262.23,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X088A",343.33,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X098A",309.94,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X100A",316.95,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X107A",363.97,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X108A",248.12,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X110A",268.24,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X125A",244.52,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X193A",250.49,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X203A",350.91,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X204A",346.46,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X254A",257.16,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X265A",359.62,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X269A",340.59,"OC4_0"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X081B",261.89,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X087B",321.47,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X088B",298.14,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X098B",245.05,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X100B",295.29,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X107B",270.4,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X108B",399.25,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X110B",269.65,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X125B",264.85,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X193B",232.49,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X203B",282,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X204B",336.72,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X254B",275.22,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X265B",198.37,"OC4_1"
"apolipoprotein B-100  ","XP_048701560.1","APOB",524,"X269B",223.88,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X114A",212.59,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X115A",219.68,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X116A",177.11,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X133A",193.34,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X137A",260.74,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X162A",229.67,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X192A",154.58,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X249A",50.489,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X278A",250.38,"OC2_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X114B",287.06,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X115B",284.12,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X116B",281.21,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X133B",312.46,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X137B",302.56,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X162B",301.71,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X192B",299.21,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X249B",272.43,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X278B",235.84,"OC2_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X081A",212.09,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X087A",38.532,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X088A",225.67,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X098A",271.71,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X100A",237.71,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X107A",245.12,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X108A",196.35,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X110A",217.63,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X125A",233.45,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X193A",218.79,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X203A",238.54,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X204A",232.88,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X254A",275.6,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X265A",238.46,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X269A",251.01,"OC4_0"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X081B",273.05,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X087B",244.24,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X088B",306.01,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X098B",373.27,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X100B",275.23,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X107B",332.8,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X108B",198.67,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X110B",338.63,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X125B",293.73,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X193B",310.99,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X203B",303.92,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X204B",300.07,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X254B",318.73,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X265B",326.86,"OC4_1"
"fibrinogen alpha chain  ","XP_048703055.1","FGA",86,"X269B",310.94,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X114A",173.45,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X115A",171.88,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X116A",155.51,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X133A",196.37,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X137A",252.02,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X162A",201.34,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X192A",149.56,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X249A",37.362,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X278A",230.38,"OC2_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X114B",278.33,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X115B",263.46,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X116B",260.92,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X133B",281.92,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X137B",275.74,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X162B",282.98,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X192B",282.43,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X249B",269.19,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X278B",211.94,"OC2_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X081A",214.26,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X087A",39.602,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X088A",211.21,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X098A",254.15,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X100A",204.45,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X107A",203.74,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X108A",170.47,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X110A",212.57,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X125A",191.19,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X193A",175.85,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X203A",222.77,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X204A",197.57,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X254A",266.92,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X265A",214.22,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X269A",244.12,"OC4_0"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X081B",256.81,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X087B",227.83,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X088B",257.8,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X098B",338.11,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X100B",256.11,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X107B",269.41,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X108B",198.67,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X110B",252.92,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X125B",256.89,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X193B",275.76,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X203B",288.97,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X204B",283.24,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X254B",281.75,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X265B",301.16,"OC4_1"
"fibrinogen beta chain  ","XP_048703397.1","FGB",55,"X269B",268.45,"OC4_1"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X114A",201.03,"OC2_0"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X115A",234.93,"OC2_0"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X116A",155.51,"OC2_0"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X133A",238.66,"OC2_0"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X137A",228.01,"OC2_0"
"Cluster of ovotransferrin-like  ","XP_048720573.1 ","TF",109,"X162A",214.49,"OC2_0"
