Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
complement factor H  ,XP_048717942.1,CFH,142,77.092,83.06,79.197,86.103,89.099,94.771,94.02,95.595,89.016,90.679,105.73,86.493,98.388,87.625,94.329,93.682,105.59,95.239,88.017,93.303,87.283,94.364,92.609,93.029,92.23,88.575,88.05,103.78,93.315,85.424,91.871,89.827,89.089,84.594,82.544,95.119,85.308,88.401,87.825,90.628,81.175,83.308,93.265,99.151,86.987,84.491,96.278,82.575
vitamin D-binding protein  ,XP_048703080.1,GC,59,66.712,64.073,59.612,68.476,70.913,77.906,67.251,68.665,71.4,81.462,72.323,75.376,94.653,96.563,95.641,81.094,88.648,91.426,63.845,67.43,69.438,70.252,72.39,68.974,66.046,70.857,69.431,78.725,67.027,78.263,86.805,66.884,90.562,76.13,86.884,94.461,77.549,80.274,73.295,79.849,79.431,77.663,88.566,93.667,94.083,96.817,83.256,106.76
Cluster of inter-alpha-trypsin inhibitor heavy chain H3-like  ,XP_048714640.1 ,ITIH3,101,64.11,89.116,65.098,81.466,86.268,93.714,88.228,79.116,88.607,73.339,78.883,69.65,64.476,49.542,73.579,85.149,65.54,87.92,76.424,87.07,76.525,84.793,89.631,90.859,67.25,108.94,85.882,109.75,82.157,72.87,73.377,81.326,79.364,62.274,65.283,64.302,64.184,73.919,86.245,77.591,77.993,58.819,57.718,60.409,64.991,57.736,63.803,60.763
complement C3 alpha chain-like  ,XP_048688274.1,C3,110,64.044,61.022,57.02,63.441,74.186,65.765,63.236,82.142,77.112,102.8,82.654,73.444,91.6,93.716,77.893,85.755,92.973,97.66,54.106,85.626,74.26,71.643,81.194,82.768,67.831,69.359,79.842,70.546,71.956,72.536,79.209,67.853,82.687,74.1,79.161,77.734,89.281,88.875,87.162,96.96,88.154,85.629,80.515,74.734,84.179,104.43,97.645,100.54
Cluster of LOW QUALITY PROTEIN: IgGFc-binding protein-like  ,XP_048684756.1 ,FCGBP,117,56.326,72.402,52.469,74.249,63.63,74.465,65.619,41.131,64.481,75.075,81.817,77.838,92.294,89.4,63.693,59.406,74.105,63.944,78.56,81.691,85.18,71.851,82.539,71.635,54.039,109.06,62.669,69.906,39.032,63.515,66.595,70.285,60.767,70.096,61.397,72.237,72.714,65.684,46.287,69.914,60.145,68.068,60.988,45.57,78.558,69.828,73.403,66.763
Cluster of alpha-1-antitrypsin-like  ,XP_048708168.1 ,SERPINA3,49,65.823,61.456,44.061,62.288,64.834,52.033,56.064,70.685,64.191,72.593,57.267,68.059,64.99,63.761,67.89,60.588,67.951,82.333,56.113,73.697,61.722,56.822,54.221,59.27,52.658,54.082,59.799,62.366,57.17,49.63,58.436,57.605,61.452,58.727,61.784,67.751,71.195,57.339,61.266,50.243,49.568,73.536,56.79,61.636,54.892,72.727,73.856,98.128
plasminogen-like  ,XP_048702170.1,PLG,90,56.928,52.885,53.564,61.427,65.459,67.788,62.232,64.626,59.976,52.368,47.526,55.083,51.907,55.792,66.061,54.063,54.054,59.219,61.68,63.149,60.758,60.954,55.76,67.912,40.163,68.832,58.362,77.702,64.07,58.22,71.614,60.099,66.937,57.859,55.992,49.198,55.835,54.472,54.476,46.579,53.302,57.75,54.347,54.805,53.479,64.182,57.559,53.897
complement C4-like isoform X1  ,XP_048673572.1,C4B,189,66.712,44.749,63.068,61.427,45.821,52.612,68.254,123.19,55.216,98.918,71.289,63.78,71.245,55.792,71.977,70.841,111.35,69.609,57.352,85.626,102.23,71.285,66.52,58.362,50.873,52.637,59.368,85.882,85.755,54.402,74.869,47.497,86.625,57.859,73.369,75.766,71.345,63.073,64.381,104.56,58.528,57.75,76.489,72.741,71.305,77.236,65.782,89.137
haptoglobin-like isoform X1  ,XP_048672671.1 ,HP,37,54.259,54.919,39.741,45.315,46.912,48.565,50.187,61.597,56.168,60.127,54.759,74.41,67.173,48.281,59.159,58.724,56.216,60.258,62.762,58.868,49.185,63.02,69.455,65.79,14.28,51.624,51.318,52.142,62.099,59.174,49.913,38.773,49.218,79.175,59.854,64.942,68.243,53.516,55.467,39.925,55.392,74.676,60.386,60.784,60.411,66.358,56.532,47.678
complement C5  ,XP_048679287.1,C5,192,62.229,65.049,54.394,71.457,63.233,58.642,61.188,66.646,73.266,75.566,72.24,66.64,78.328,73.989,71.938,75.464,70.184,70.606,64.883,65.247,70.363,64.012,76.225,73.176,50.837,65.755,66.372,71.527,68.959,63.908,68.315,68.784,69.851,76.089,78.157,70.806,64.066,81.154,82.17,77.872,66.889,72.645,64.331,67.719,78.198,73.886,67.797,76.616
fibronectin isoform X3  ,XP_048725394.1,FN1,264,60.486,62.039,58.748,70.49,55.64,75.882,63.236,43.421,75.208,93.099,89.887,77.309,75.316,87.979,77.893,87.619,76.757,52.986,68.173,75.993,71.366,70.252,60.651,71.096,71.401,62.759,66.412,67.478,61.113,57.265,62.933,54.283,74.812,106.58,73.369,73.798,80.651,80.274,88.152,95.059,73.16,84.633,80.515,82.706,79.228,62.006,97.645,45.605
ceruloplasmin isoform X1  ,XP_048719915.1,CP,123,59.596,61.022,51.837,71.497,74.186,61.718,63.236,97.949,61.88,73.704,74.389,57.015,56.996,71.886,57.187,70.841,76.757,71.687,61.68,74.923,69.438,65.087,71.412,62.607,63.368,64.783,73.456,59.299,80.827,66.81,66.189,63.007,63.984,59.889,62.75,62.974,58.937,65.94,62.4,96.96,58.528,55.758,58.373,61.78,61.401,66.358,57.559,57.006
kininogen-1  ,XP_048719051.1,KNG1,73,54.259,54.919,51.837,50.35,48.003,57.671,46.172,57.557,58.072,64.006,63.024,57.015,50.889,49.354,55.215,55.927,47.567,67.531,49.777,55.657,53.043,60.954,70.433,60.485,60.691,55.673,61.381,68.501,69.984,62.037,68.359,65.914,64.968,57.859,56.958,58.054,67.209,64.984,66.362,48.48,66.889,57.75,76.489,66.762,56.45,65.27,69.894,68.407
fetuin-B  ,XP_048719040.1,FETUB,51,32.911,56.954,36.286,48.336,34.911,46.541,48.18,61.597,45.696,27.154,35.128,35.755,40.711,39.698,49.299,46.606,44.324,40.519,45.449,56.727,45.327,38.226,47.934,48.812,29.453,47.575,46.287,52.142,44.356,41.995,53.168,37.804,40.359,43.648,41.511,48.214,38.257,43.004,44.571,20.913,34.49,45.801,45.289,42.847,43.575,48.952,38.03,49.751
Cluster of neurofascin isoform X10  ,XP_048682932.1 ,NFASC,138,56.928,82.379,51.837,62.434,58.913,72.847,57.213,60.587,59.976,64.976,74.389,53.15,59.031,53.646,79.865,70.841,49.73,68.57,50.859,70.641,49.185,71.286,78.259,74.279,58.906,67.82,83.518,69.523,62.099,61.083,84.635,64.945,64.968,57.859,55.027,63.958,64.107,70.718,77.257,38.974,73.16,72.685,57.367,71.745,68.334,65.27,68.866,68.407
Cluster of prothrombin isoform X1  ,XP_048709512.1 ,F2,95,51.591,55.937,40.605,45.315,49.094,57.671,52.195,59.577,55.216,60.127,47.526,47.352,49.871,45.063,62.117,58.724,69.189,61.297,60.598,54.587,52.078,54.756,65.542,60.485,55.336,52.637,50.312,58.277,60.128,46.767,55.338,57.191,55.125,50.753,47.304,58.054,52.733,57.339,52.495,50.381,48.077,57.75,62.399,57.794,55.459,58.743,50.365,69.444
Cluster of antithrombin-III  ,XP_048715557.1 ,SERPINC1,52,47.143,50.851,57.02,50.35,54.549,57.671,45.168,19.186,59.024,59.157,66.124,49.284,60.049,49.354,65.075,80.162,56.216,67.531,58.434,65.29,66.544,65.087,55.76,71.096,47.303,56.686,48.3,55.21,59.142,55.356,57.508,59.129,58.078,56.844,48.269,52.15,52.733,52.56,53.486,62.739,44.941,52.771,61.392,59.787,56.45,57.655,59.615,70.48
alpha-1-antitrypsin-like  ,XP_048708171.1 ,SERPINA1,48,43.349,54.214,30.872,58.285,38.74,41.793,40.029,45.172,51.7,61.949,43.711,71.807,61.421,56.121,65.942,40.766,59.042,69.928,45.318,51.246,40.249,51.382,45.299,50.806,43.496,48.36,49.615,40.624,39.166,42.695,57.377,37.132,50.505,61.796,48.978,56.951,65.016,48.23,75.157,38.607,61.984,69.313,55.663,57.409,54.773,81.456,73.881,77.61
apolipoprotein A-IV  ,XP_048683357.1,APOA4,42,47.143,46.783,42.333,50.35,42.548,54.635,54.202,39.381,51.408,54.308,50.626,80.208,75.316,76.177,70.005,61.52,61.621,62.336,45.449,48.165,45.327,33.06,40.108,42.445,44.625,50.612,47.293,53.165,52.242,51.539,64.018,37.804,62.015,82.22,67.577,69.862,67.209,70.718,60.419,33.271,67.934,77.663,71.457,71.745,76.257,91.378,70.921,69.444
Cluster of acetylcholinesterase-like  ,XP_048674477.1 ,BCHE,62,39.138,53.902,39.741,56.392,36.002,49.577,50.187,57.557,59.024,43.64,36.161,45.419,35.622,35.406,55.215,43.81,41.081,54.025,46.531,43.883,43.398,43.391,44.021,53.057,42.84,57.698,52.325,62.366,56.185,55.356,68.359,61.068,55.125,38.572,45.373,40.343,38.257,54.472,48.533,27.567,51.212,42.814,43.277,49.823,55.459,46.777,44.197,45.605
immunoglobulin lambda-1 light chain-like  ,XP_048677958.1,LOC125623137,26,53.37,99.669,48.381,71.497,55.64,81.953,66.247,101.99,40.936,31.033,56.825,35.755,29.516,41.844,43.383,46.606,48.649,47.791,68.173,87.767,69.438,70.252,68.477,62.607,62.476,67.82,57.356,66.456,79.841,77.308,79.209,87.24,63.984,47.708,46.338,39.359,29.986,46.827,39.619,50.381,48.076,26.883,51.328,43.844,42.585,56.567,39.058,45.605
complement factor B  ,XP_048673272.1,CFB,84,41.806,47.8,38.877,48.336,49.094,44.518,47.176,49.479,54.264,51.399,54.759,43.486,52.925,45.063,49.299,52.199,51.892,55.064,45.449,55.657,48.221,45.457,46.956,42.445,45.518,53.649,55.343,67.478,54.213,50.584,48.828,50.405,53.156,43.648,47.304,40.343,43.427,49.694,44.571,53.233,45.986,40.823,51.328,50.819,42.585,41.338,47.281,50.787
hemopexin  ,XP_048711382.1,HPX,48,48.033,42.715,25.918,46.322,40.366,44.518,54.202,51.499,52.36,24.245,24.796,42.52,41.729,41.844,47.327,40.081,35.676,35.324,34.628,50.305,39.541,30.994,46.956,47.751,11.603,37.453,46.287,43.963,61.113,44.858,40.147,45.559,54.14,37.557,43.442,37.391,36.189,44.915,45.562,21.864,41.806,41.819,40.257,41.851,37.633,36.986,40.086,36.277
Cluster of complement factor I isoform X1  ,XP_048703651.1 ,CFI,70,42.696,41.698,39.741,53.371,48.003,41.482,46.172,53.518,40.936,50.429,47.526,40.587,40.711,39.698,43.383,42.877,46.486,44.674,46.531,56.727,54.971,42.358,47.934,51.995,40.163,46.563,44.275,38.851,45.342,45.812,41.232,35.865,37.406,46.693,40.546,51.166,42.393,42.048,46.552,56.085,43.896,38.832,40.257,44.84,41.594,42.425,42.142,44.568
inter-alpha-trypsin inhibitor heavy chain H2  ,XP_048692607.1,ITIH2,106,33.801,44.749,39.741,44.308,43.639,33.388,45.168,38.372,42.84,49.459,51.659,35.755,40.711,34.333,58.173,59.656,42.162,47.791,42.202,46.024,42.434,52.689,51.847,55.179,48.195,53.649,45.281,48.053,48.299,44.858,43.402,49.436,48.234,44.663,42.477,43.295,34.121,49.694,48.533,57.035,41.806,41.819,42.27,42.847,39.614,36.986,42.142,45.605
Cluster of retinol-binding protein 4  ,XP_048714989.1 ,RBP4,23,32.022,42.715,36.286,40.28,32.729,41.482,41.153,40.391,47.6,47.519,45.46,41.554,40.711,37.552,54.229,50.334,37.838,46.752,40.038,47.094,41.47,42.358,46.956,43.506,40.163,40.49,49.306,36.806,46.328,40.086,47.743,36.835,40.359,52.783,41.511,50.182,48.597,51.605,52.495,40.875,47.031,50.78,47.302,52.812,54.469,47.864,45.225,52.86
ovoinhibitor-like  ,XP_048716654.1,SPINK5,66,29.353,46.783,33.694,44.308,26.183,33.388,48.18,32.313,48.552,37.822,34.095,38.655,30.533,34.333,51.271,44.742,42.162,41.557,24.889,33.18,31.826,20.662,27.391,29.712,41.948,31.379,34.212,38.851,29.571,29.587,37.977,39.743,56.109,21.316,32.823,38.375,25.85,32.492,25.752,31.369,29.264,41.819,32.206,44.84,37.633,35.898,34.947,51.824
complement C3-like  ,XP_048687343.1,C3,185,32.911,30.511,42.333,46.322,57.822,33.388,41.153,98.958,30.464,59.157,81.621,43.486,45.8,68.667,39.44,34.488,91.892,38.441,42.202,54.587,73.295,45.457,56.738,36.078,21.42,58.71,49.306,46.008,46.328,18.134,14.106,31.019,38.39,33.497,42.477,39.359,38.257,41.093,42.59,77.948,40.761,41.819,29.187,37.865,25.749,13.054,30.835,45.605
von Willebrand factor  ,XP_048679878.1,VWF,315,40.917,46.783,51.837,43.301,46.912,49.577,53.198,41.401,49.504,44.61,41.327,57.982,38.676,37.552,50.285,49.402,44.324,25.973,57.352,37.461,52.078,51.656,47.934,54.118,37.485,48.588,50.312,58.277,47.313,53.448,56.423,40.712,48.234,44.663,46.338,49.198,43.427,55.427,44.571,56.085,32.399,39.827,34.219,40.855,42.585,26.108,44.197,27.985
collagen alpha-1 chain  ,XP_048686165.1,COL1A1,138,27.27,31.965,34.065,39.362,30.954,42.872,29.826,13.127,44.828,25.908,50.331,59.033,71.682,76.639,36.201,25.167,28.881,45.062,32.155,15.384,23.146,10.331,6.8477,33.654,10.71,40.925,31.913,23.224,22.671,23.534,35.498,3.8773,52.875,87.385,83.108,56.173,44.167,66.024,59.516,22.814,71.519,71.777,66.8,37.581,48.245,70.399,74.388,48.065
alpha-2-HS-glycoprotein  ,XP_048719049.1,AHSG,38,24.906,33.562,19.007,25.175,29.456,33.388,28.105,22.215,27.608,24.245,28.929,28.025,24.427,38.625,32.538,20.507,23.784,27.012,28.135,27.828,26.039,29.961,25.434,29.712,22.313,33.404,28.175,29.65,27.599,28.633,35.807,34.896,27.562,29.437,29.927,31.487,24.816,35.359,23.771,16.16,27.174,30.866,31.199,33.879,25.749,36.986,31.863,19.693
complement component C9  ,XP_048705833.1,C9,68,25.795,24.409,24.19,28.196,26.183,25.294,19.071,32.313,30.464,39.761,40.294,26.092,33.587,27.896,42.397,38.217,34.594,45.713,40.038,38.532,27.003,36.159,31.304,29.712,47.303,22.269,31.194,19.426,24.642,20.997,31.467,13.571,28.547,37.557,30.892,36.407,23.782,29.625,35.657,41.826,28.219,39.827,33.212,40.855,31.691,39.162,30.835,42.495
complement C3-like  ,XP_048687641.1,C3,186,18.947,11.842,16.391,18.112,9.0711,16.839,13.364,17.484,18.061,39.097,36.811,27.68,25.416,26.073,51.568,34.462,38.518,32.861,10.435,24.587,16.368,25.106,22.151,23.664,62.744,13.284,15.396,22.128,17.715,15.244,8.2934,17.102,29.827,25.348,22.825,23.588,30.296,14.308,29.686,52.256,25.054,25.533,37.885,40.827,35.625,35.51,30.807,31.406
hemoglobin subunit beta  ,XP_048723204.1,HBE1,17,51.591,55.936,46.653,32.224,55.64,51.6,33.123,36.352,29.512,17.456,17.564,28.991,12.213,21.458,7.8879,25.167,17.297,19.74,56.27,31.039,31.826,48.557,39.13,33.956,43.733,33.404,39.244,31.694,24.642,38.177,24.956,14.54,23.625,18.271,33.788,18.695,13.442,26.758,18.819,17.111,21.948,16.927,31.199,19.929,18.817,23.932,21.585,21.766
heparin cofactor 2  ,XP_048677308.1,SERPIND1,56,28.464,27.46,28.51,34.238,36.002,39.459,12.045,11.108,30.464,35.882,34.095,27.058,34.604,31.115,41.412,40.081,42.162,31.168,32.463,26.758,33.754,37.192,35.217,37.14,28.56,36.441,14.087,24.538,30.557,30.542,27.126,34.896,29.531,30.452,27.031,19.679,27.918,28.669,30.705,37.073,26.129,33.853,28.18,40.855,32.681,31.547,39.058,36.277
Cluster of beta-enolase  ,XP_048689946.1 ,ENO3,51,61.375,35.596,84.666,50.35,33.82,33.388,63.236,46.45,32.368,43.64,33.062,51.217,44.782,33.261,29.58,40.081,36.757,23.896,24.889,34.25,30.861,28.927,25.434,24.406,58.013,30.367,27.169,29.65,16.757,28.633,11.936,48.467,8.8593,33.497,24.135,16.727,23.782,24.847,21.79,52.282,22.993,35.845,18.116,26.904,23.768,15.23,22.613,9.3283
complement receptor type 2-like  ,XP_048683080.1,SVEP1,193,23.127,21.358,21.599,29.203,22.91,32.975,30.911,40.391,29.512,18.426,24.796,21.26,20.356,22.531,23.664,26.099,38.919,32.207,32.463,34.25,27.003,25.828,30.325,30.773,19.635,39.477,25.156,30.672,36.471,18.134,34.722,31.988,34.453,23.346,25.1,24.599,22.748,28.669,25.752,22.814,24.038,21.905,25.161,26.904,15.846,31.547,24.668,26.948
pantetheinase  ,XP_048700481.1,VNN1,55,26.685,31.528,19.871,28.196,20.729,28.329,29.109,31.303,30.464,29.094,21.697,20.294,23.409,23.604,25.636,28.896,33.513,35.324,25.971,33.18,30.861,24.795,30.325,33.956,24.99,30.367,32.2,31.694,29.571,35.314,28.212,30.049,31.5,22.331,22.204,26.567,28.952,28.669,27.733,22.814,26.129,22.901,22.141,24.911,26.739,19.581,20.557,32.131
"Cluster of actin, cytoplasmic type 5  ",XP_048721935.1 ,ACTG1,42,40.027,39.664,49.245,32.224,31.638,42.494,37.138,27.264,26.656,16.486,18.597,28.025,29.516,16.094,22.678,27.031,14.054,17.662,40.038,31.039,25.075,29.961,28.369,21.223,33.023,24.294,29.181,23.515,22.671,37.222,29.297,32.957,22.64,19.286,22.204,22.631,22.748,20.069,16.838,20.913,17.767,25.888,19.122,29.894,21.788,19.581,18.501,14.511
apolipoprotein A-II  ,XP_048684690.1,APOA2,12,25.795,36.613,26.782,29.203,34.911,33.388,22.082,29.284,26.656,27.154,28.929,22.226,22.391,27.896,31.552,24.235,19.459,31.168,22.724,39.602,32.79,26.861,40.108,37.14,20.528,34.416,44.275,36.806,35.485,25.769,37.977,27.141,25.594,33.497,30.892,28.535,25.85,33.448,30.705,24.715,34.49,20.909,39.251,25.908,26.739,22.844,27.752,20.729
alpha-2-antiplasmin  ,XP_048680189.1,SERPINF2,67,18.679,24.409,19.007,23.161,24.001,31.365,25.094,22.215,27.608,23.275,30.995,18.361,16.284,17.167,26.622,26.099,27.027,30.129,21.642,28.899,32.79,28.927,27.391,22.284,18.743,31.379,27.169,31.694,34.499,29.587,31.467,36.835,30.515,27.407,25.1,23.615,24.816,28.669,21.79,19.962,30.309,25.888,28.18,27.901,25.749,27.196,24.668,23.839
complement C4-like  ,XP_048704437.1,LOC110384692,190,19.569,21.358,19.871,28.196,16.365,9.1059,32.12,32.313,26.656,35.882,28.929,26.092,38.676,16.094,10.846,29.828,31.351,38.441,16.232,34.25,21.217,27.894,22.5,36.078,17.85,20.245,12.075,28.627,25.628,26.724,24.956,16.479,30.515,25.377,37.65,30.503,25.85,22.935,40.609,17.111,36.58,18.918,27.174,28.897,25.749,20.669,31.863,26.948
complement component C6 isoform X1  ,XP_048707323.1 ,C6,105,27.574,24.409,20.735,24.168,28.365,28.329,26.097,35.342,28.56,29.094,27.896,24.159,20.356,21.458,27.608,24.235,29.189,30.129,27.053,28.899,25.075,22.729,22.5,27.589,20.528,30.367,25.156,26.582,23.657,21.952,30.382,22.295,18.703,24.362,20.273,26.567,23.782,27.714,30.705,25.666,28.219,23.896,25.161,27.901,22.778,23.932,23.64,29.021
extracellular matrix protein 1  ,XP_048683933.1,ECM1,51,19.569,20.341,23.326,24.168,27.274,29.341,27.101,26.254,27.608,22.305,19.63,20.294,23.409,24.677,21.692,25.167,31.351,29.09,27.053,31.039,27.003,19.629,21.521,30.773,20.528,26.318,26.162,24.538,28.585,20.997,27.126,24.233,30.515,26.392,20.273,19.679,18.612,24.847,24.762,34.221,25.083,24.892,22.141,21.922,27.73,26.108,23.64,25.912
complement C2 isoform X1  ,XP_048673266.1 ,C2,85,18.679,16.272,16.415,21.147,22.91,22.259,14.052,26.254,25.704,25.214,24.796,21.26,28.498,30.042,20.706,15.846,32.432,29.09,17.314,27.828,23.146,21.696,21.521,21.223,23.205,23.282,24.15,22.493,22.671,19.088,21.701,18.417,28.547,24.362,20.273,22.631,19.646,22.935,21.79,29.468,18.813,19.914,24.154,22.918,19.807,20.669,19.529,25.912
Cluster of pyruvate kinase PKM isoform X1  ,XP_048721589.1 ,PKM,58,69.381,29.494,76.027,42.294,34.911,23.271,59.221,35.342,30.464,23.275,16.531,37.688,23.409,24.677,16.762,18.642,11.892,5.1947,22.724,37.461,23.146,19.629,20.543,18.039,44.625,27.331,24.15,16.358,9.857,28.633,15.191,50.405,9.8437,22.331,17.377,6.8878,19.646,20.069,8.9143,35.172,25.083,26.883,13.084,14.947,11.884,6.527,14.39,7.2553
beta-Ala-His dipeptidase  ,XP_048696060.1 ,CNDP1,56,21.348,24.409,19.871,23.161,21.82,27.318,21.079,29.284,27.608,27.154,23.763,22.226,24.427,21.458,20.706,24.235,22.703,28.051,20.56,26.758,23.146,25.828,27.391,21.223,20.528,25.306,25.156,20.448,29.571,29.587,24.956,23.264,23.625,23.346,24.135,22.631,23.782,22.935,24.762,20.913,19.858,27.879,23.148,25.908,21.788,31.547,24.668,26.948
beta-2-glycoprotein 1  ,XP_048674060.1,APOH,39,16.9,20.341,19.871,21.147,21.82,14.165,16.06,23.225,19.992,23.275,19.63,18.361,18.32,23.604,18.734,22.371,22.703,20.779,22.724,24.617,20.253,22.729,22.5,20.162,16.065,18.22,19.119,24.538,20.7,20.997,20.616,18.417,16.734,21.316,20.273,23.615,16.544,21.98,18.819,26.616,19.858,21.905,18.116,20.925,19.807,18.493,15.418,18.657
Cluster of periostin isoform X6  ,XP_048704295.1 ,POSTN,92,27.574,27.46,31.102,35.245,29.456,36.424,22.082,13.127,32.368,9.6978,14.465,30.924,26.462,28.969,11.832,11.185,6.4865,14.545,24.889,29.969,12.537,12.397,7.8259,28.651,22.313,28.343,29.181,28.627,27.6,26.724,26.041,24.233,29.531,33.497,32.823,23.615,21.714,29.625,27.733,6.6541,28.219,25.888,26.167,13.95,19.807,23.932,21.585,20.73
